#,PLAYER,GP,MIN,PTS,FGM,REB,AST
1,Kareem Abdul-Jabbar,"1,560",57446,38387,15837,17440,5660
2,LeBron James,"1,366",52138,37062,13543,10210,10045
3,Karl Malone,"1,476",54852,36928,13528,14968,5248
4,Kobe Bryant,"1,346",48643,33643,11719,7047,6306
5,Michael Jordan,"1,072",41010,32292,12192,6672,5633
6,Dirk Nowitzki,"1,522",51367,31560,11169,11489,3651
7,Wilt Chamberlain,"1,045",47859,31419,12681,23924,4643
8,Shaquille O’Neal,"1,207",41917,28596,11330,13099,3026
9,Carmelo Anthony,"1,260",43513,28289,10119,7808,3422
10,Moses Malone,"1,329",45071,27409,9435,16212,1796